"severe headache, light sensitivity, sound sensitivity, throbbing pain, vomiting",Migraine (Classic)
"unilateral pain, nausea, visual aura, extreme light sensitivity, headache",Migraine (Classic)
"headache, throbbing pain, flashes of light, nausea, neck stiffness",Migraine (Classic)
"severe throbbing pain, sound sensitivity, vomiting, unilateral headache, neck pain",Migraine (Classic)
"throbbing pain, sensitivity to light, dizziness, nausea, one-sided headache",Migraine (Classic)
"intense headache, visual aura, sensitivity to sound, throbbing pain",Migraine (Classic)
"nausea, throbbing pain, sensitivity to light, neck pain, headache",Migraine (Classic)
"flashing lights, vomiting, one-sided headache, sound sensitivity, intense pain",Migraine (Classic)
"headache, throbbing pain, dizziness, nausea, light sensitivity",Migraine (Classic)
"throbbing pain, sensitivity to light, one-sided headache, aura, nausea",Migraine (Classic)
"severe headache, light sensitivity, sound sensitivity, throbbing pain, vomiting",Migraine (Classic)
"unilateral pain, nausea, visual aura, extreme light sensitivity, headache",Migraine (Classic)
"headache, throbbing pain, flashes of light, nausea, neck stiffness",Migraine (Classic)
"severe throbbing pain, sound sensitivity, vomiting, unilateral headache, neck pain",Migraine (Classic)
"throbbing pain, sensitivity to light, dizziness, nausea, one-sided headache",Migraine (Classic)
"intense headache, visual aura, sensitivity to sound, throbbing pain",Migraine (Classic)
"nausea, throbbing pain, sensitivity to light, neck pain, headache",Migraine (Classic)
"flashing lights, vomiting, one-sided headache, sound sensitivity, intense pain",Migraine (Classic)
"headache, throbbing pain, dizziness, nausea, light sensitivity",Migraine (Classic)
"throbbing pain, sensitivity to light, one-sided headache, aura, nausea",Migraine (Classic)
"severe headache, light sensitivity, sound sensitivity, throbbing pain, vomiting",Migraine (Classic)
"unilateral pain, nausea, visual aura, extreme light sensitivity, headache",Migraine (Classic)
"headache, throbbing pain, flashes of light, nausea, neck stiffness",Migraine (Classic)
"severe throbbing pain, sound sensitivity, vomiting, unilateral headache, neck pain",Migraine (Classic)
"throbbing pain, sensitivity to light, dizziness, nausea, one-sided headache",Migraine (Classic)
"intense headache, visual aura, sensitivity to sound, throbbing pain",Migraine (Classic)
"nausea, throbbing pain, sensitivity to light, neck pain, headache",Migraine (Classic)
"flashing lights, vomiting, one-sided headache, sound sensitivity, intense pain",Migraine (Classic)
"headache, throbbing pain, dizziness, nausea, light sensitivity",Migraine (Classic)
"throbbing pain, sensitivity to light, one-sided headache, aura, nausea",Migraine (Classic)
"severe headache, light sensitivity, sound sensitivity, throbbing pain, vomiting",Migraine (Classic)
"unilateral pain, nausea, visual aura, extreme light sensitivity, headache",Migraine (Classic)
"headache, throbbing pain, flashes of light, nausea, neck stiffness",Migraine (Classic)
"severe throbbing pain, sound sensitivity, vomiting, unilateral headache, neck pain",Migraine (Classic)
"throbbing pain, sensitivity to light, dizziness, nausea, one-sided headache",Migraine (Classic)
"intense headache, visual aura, sensitivity to sound, throbbing pain",Migraine (Classic)
"nausea, throbbing pain, sensitivity to light, neck pain, headache",Migraine (Classic)
"flashing lights, vomiting, one-sided headache, sound sensitivity, intense pain",Migraine (Classic)
"headache, throbbing pain, dizziness, nausea, light sensitivity",Migraine (Classic)
"fatigue, swollen glands, night sweats, persistent fever, malaise",Mononucleosis
"extreme fatigue, swollen lymph nodes, sore throat, prolonged fever",Mononucleosis
"swollen glands, low-grade fever, tiredness, muscle aches, fatigue",Mononucleosis
"sore throat, persistent fatigue, swollen neck, malaise, mild fever",Mononucleosis
"fever, swollen glands, body aches, constant fatigue, neck stiffness",Mononucleosis
"extreme fatigue, sore throat, night sweats, muscle aches, swollen glands",Mononucleosis
"persistent fever, body aches, swollen lymph nodes, tiredness",Mononucleosis
"fatigue, swollen neck, sore throat, night sweats, low fever",Mononucleosis
"swollen glands, malaise, throat pain, body aches, fever",Mononucleosis
"tiredness, muscle aches, sore throat, swollen lymph nodes, persistent fatigue",Mononucleosis
"fatigue, swollen glands, night sweats, persistent fever, malaise",Mononucleosis
"extreme fatigue, swollen lymph nodes, sore throat, prolonged fever",Mononucleosis
"swollen glands, low-grade fever, tiredness, muscle aches, fatigue",Mononucleosis
"sore throat, persistent fatigue, swollen neck, malaise, mild fever",Mononucleosis
"fever, swollen glands, body aches, constant fatigue, neck stiffness",Mononucleosis
"extreme fatigue, sore throat, night sweats, muscle aches, swollen glands",Mononucleosis
"persistent fever, body aches, swollen lymph nodes, tiredness",Mononucleosis
"fatigue, swollen neck, sore throat, night sweats, low fever",Mononucleosis
"swollen glands, malaise, throat pain, body aches, fever",Mononucleosis
"tiredness, muscle aches, sore throat, swollen lymph nodes, persistent fatigue",Mononucleosis
"fatigue, swollen glands, night sweats, persistent fever, malaise",Mononucleosis
"extreme fatigue, swollen lymph nodes, sore throat, prolonged fever",Mononucleosis
"swollen glands, low-grade fever, tiredness, muscle aches, fatigue",Mononucleosis
"sore throat, persistent fatigue, swollen neck, malaise, mild fever",Mononucleosis
"fever, swollen glands, body aches, constant fatigue, neck stiffness",Mononucleosis
"extreme fatigue, sore throat, night sweats, muscle aches, swollen glands",Mononucleosis
"persistent fever, body aches, swollen lymph nodes, tiredness",Mononucleosis
"fatigue, swollen neck, sore throat, night sweats, low fever",Mononucleosis
"swollen glands, malaise, throat pain, body aches, fever",Mononucleosis
"tiredness, muscle aches, sore throat, swollen lymph nodes, persistent fatigue",Mononucleosis
"fatigue, swollen glands, night sweats, persistent fever, malaise",Mononucleosis
"extreme fatigue, swollen lymph nodes, sore throat, prolonged fever",Mononucleosis
"swollen glands, low-grade fever, tiredness, muscle aches, fatigue",Mononucleosis
"sore throat, persistent fatigue, swollen neck, malaise, mild fever",Mononucleosis
"fever, swollen glands, body aches, constant fatigue, neck stiffness",Mononucleosis
"extreme fatigue, sore throat, night sweats, muscle aches, swollen glands",Mononucleosis
"persistent fever, body aches, swollen lymph nodes, tiredness",Mononucleosis
"fatigue, swollen neck, sore throat, night sweats, low fever",Mononucleosis
"swollen glands, malaise, throat pain, body aches, fever",Mononucleosis
"tiredness, muscle aches, sore throat, swollen lymph nodes, persistent fatigue",Mononucleosis
"joint pain, skin rash, fever, face swelling, sun sensitivity",Systemic Lupus Erythematosus (SLE)
"malar rash, joint aches, fatigue, kidney problems, butterfly rash on face",Systemic Lupus Erythematosus (SLE)
"butterfly rash on face, swollen joints, sun sensitivity, fatigue, low fever",Systemic Lupus Erythematosus (SLE)
"persistent fatigue, joint pain, face rash, photosensitivity, mouth sores",Systemic Lupus Erythematosus (SLE)
"swollen joints, malar rash, chest pain, fever, hair loss",Systemic Lupus Erythematosus (SLE)
"skin rash, joint aches, fatigue, sun sensitivity, low blood counts",Systemic Lupus Erythematosus (SLE)
"joint pain, persistent fatigue, kidney problems, butterfly rash, mouth ulcers",Systemic Lupus Erythematosus (SLE)
"malar rash, face swelling, hair loss, joint pain, fever",Systemic Lupus Erythematosus (SLE)
"sun sensitivity, joint aches, mouth sores, fatigue, low-grade fever",Systemic Lupus Erythematosus (SLE)
"skin rash, swollen joints, chronic fatigue, kidney problems, butterfly rash",Systemic Lupus Erythematosus (SLE)
"joint pain, skin rash, fever, face swelling, sun sensitivity",Systemic Lupus Erythematosus (SLE)
"malar rash, joint aches, fatigue, kidney problems, butterfly rash on face",Systemic Lupus Erythematosus (SLE)
"butterfly rash on face, swollen joints, sun sensitivity, fatigue, low fever",Systemic Lupus Erythematosus (SLE)
"persistent fatigue, joint pain, face rash, photosensitivity, mouth sores",Systemic Lupus Erythematosus (SLE)
"swollen joints, malar rash, chest pain, fever, hair loss",Systemic Lupus Erythematosus (SLE)
"skin rash, joint aches, fatigue, sun sensitivity, low blood counts",Systemic Lupus Erythematosus (SLE)
"joint pain, persistent fatigue, kidney problems, butterfly rash, mouth ulcers",Systemic Lupus Erythematosus (SLE)
"malar rash, face swelling, hair loss, joint pain, fever",Systemic Lupus Erythematosus (SLE)
"sun sensitivity, joint aches, mouth sores, fatigue, low-grade fever",Systemic Lupus Erythematosus (SLE)
"skin rash, swollen joints, chronic fatigue, kidney problems, butterfly rash",Systemic Lupus Erythematosus (SLE)
"joint pain, skin rash, fever, face swelling, sun sensitivity",Systemic Lupus Erythematosus (SLE)
"malar rash, joint aches, fatigue, kidney problems, butterfly rash on face",Systemic Lupus Erythematosus (SLE)
"butterfly rash on face, swollen joints, sun sensitivity, fatigue, low fever",Systemic Lupus Erythematosus (SLE)
"persistent fatigue, joint pain, face rash, photosensitivity, mouth sores",Systemic Lupus Erythematosus (SLE)
"swollen joints, malar rash, chest pain, fever, hair loss",Systemic Lupus Erythematosus (SLE)
"skin rash, joint aches, fatigue, sun sensitivity, low blood counts",Systemic Lupus Erythematosus (SLE)
"joint pain, persistent fatigue, kidney problems, butterfly rash, mouth ulcers",Systemic Lupus Erythematosus (SLE)
"malar rash, face swelling, hair loss, joint pain, fever",Systemic Lupus Erythematosus (SLE)
"sun sensitivity, joint aches, mouth sores, fatigue, low-grade fever",Systemic Lupus Erythematosus (SLE)
"skin rash, swollen joints, chronic fatigue, kidney problems, butterfly rash",Systemic Lupus Erythematosus (SLE)
"joint pain, skin rash, fever, face swelling, sun sensitivity",Systemic Lupus Erythematosus (SLE)
"malar rash, joint aches, fatigue, kidney problems, butterfly rash on face",Systemic Lupus Erythematosus (SLE)
"butterfly rash on face, swollen joints, sun sensitivity, fatigue, low fever",Systemic Lupus Erythematosus (SLE)
"persistent fatigue, joint pain, face rash, photosensitivity, mouth sores",Systemic Lupus Erythematosus (SLE)
"swollen joints, malar rash, chest pain, fever, hair loss",Systemic Lupus Erythematosus (SLE)
"skin rash, joint aches, fatigue, sun sensitivity, low blood counts",Systemic Lupus Erythematosus (SLE)
"joint pain, persistent fatigue, kidney problems, butterfly rash, mouth ulcers",Systemic Lupus Erythematosus (SLE)
"malar rash, face swelling, hair loss, joint pain, fever",Systemic Lupus Erythematosus (SLE)
"sun sensitivity, joint aches, mouth sores, fatigue, low-grade fever",Systemic Lupus Erythematosus (SLE)
"skin rash, swollen joints, chronic fatigue, kidney problems, butterfly rash",Systemic Lupus Erythematosus (SLE)
"severe abdominal pain, vomiting, diarrhea, intense cramping, bloody stool",Gastroenteritis (Severe)
"vomiting, diarrhea, abdominal cramps, fever, watery stool",Gastroenteritis (Severe)
"intense cramping, bloody stool, severe diarrhea, persistent vomiting, stomach ache",Gastroenteritis (Severe)
"abdominal pain, frequent diarrhea, vomiting, nausea, fever",Gastroenteritis (Severe)
"stomach ache, bloody stool, intense cramping, watery diarrhea, fatigue",Gastroenteritis (Severe)
"severe vomiting, constant diarrhea, abdominal pain, fever, loss of appetite",Gastroenteritis (Severe)
"intense cramping, nausea, vomiting, watery stool, severe abdominal pain",Gastroenteritis (Severe)
"diarrhea, fever, abdominal cramps, loss of appetite, persistent vomiting",Gastroenteritis (Severe)
"bloody stool, stomach ache, severe diarrhea, intense cramping, nausea",Gastroenteritis (Severe)
"vomiting, abdominal pain, frequent diarrhea, low-grade fever, stomach upset",Gastroenteritis (Severe)
"severe abdominal pain, vomiting, diarrhea, intense cramping, bloody stool",Gastroenteritis (Severe)
"vomiting, diarrhea, abdominal cramps, fever, watery stool",Gastroenteritis (Severe)
"intense cramping, bloody stool, severe diarrhea, persistent vomiting, stomach ache",Gastroenteritis (Severe)
"abdominal pain, frequent diarrhea, vomiting, nausea, fever",Gastroenteritis (Severe)
"stomach ache, bloody stool, intense cramping, watery diarrhea, fatigue",Gastroenteritis (Severe)
"severe vomiting, constant diarrhea, abdominal pain, fever, loss of appetite",Gastroenteritis (Severe)
"intense cramping, nausea, vomiting, watery stool, severe abdominal pain",Gastroenteritis (Severe)
"diarrhea, fever, abdominal cramps, loss of appetite, persistent vomiting",Gastroenteritis (Severe)
"bloody stool, stomach ache, severe diarrhea, intense cramping, nausea",Gastroenteritis (Severe)
"vomiting, abdominal pain, frequent diarrhea, low-grade fever, stomach upset",Gastroenteritis (Severe)
"severe abdominal pain, vomiting, diarrhea, intense cramping, bloody stool",Gastroenteritis (Severe)
"vomiting, diarrhea, abdominal cramps, fever, watery stool",Gastroenteritis (Severe)
"intense cramping, bloody stool, severe diarrhea, persistent vomiting, stomach ache",Gastroenteritis (Severe)
"abdominal pain, frequent diarrhea, vomiting, nausea, fever",Gastroenteritis (Severe)
"stomach ache, bloody stool, intense cramping, watery diarrhea, fatigue",Gastroenteritis (Severe)
"severe vomiting, constant diarrhea, abdominal pain, fever, loss of appetite",Gastroenteritis (Severe)
"intense cramping, nausea, vomiting, watery stool, severe abdominal pain",Gastroenteritis (Severe)
"diarrhea, fever, abdominal cramps, loss of appetite, persistent vomiting",Gastroenteritis (Severe)
"bloody stool, stomach ache, severe diarrhea, intense cramping, nausea",Gastroenteritis (Severe)
"vomiting, abdominal pain, frequent diarrhea, low-grade fever, stomach upset",Gastroenteritis (Severe)
"severe abdominal pain, vomiting, diarrhea, intense cramping, bloody stool",Gastroenteritis (Severe)
"vomiting, diarrhea, abdominal cramps, fever, watery stool",Gastroenteritis (Severe)
"intense cramping, bloody stool, severe diarrhea, persistent vomiting, stomach ache",Gastroenteritis (Severe)
"abdominal pain, frequent diarrhea, vomiting, nausea, fever",Gastroenteritis (Severe)
"stomach ache, bloody stool, intense cramping, watery diarrhea, fatigue",Gastroenteritis (Severe)
"severe vomiting, constant diarrhea, abdominal pain, fever, loss of appetite",Gastroenteritis (Severe)
"intense cramping, nausea, vomiting, watery stool, severe abdominal pain",Gastroenteritis (Severe)
"diarrhea, fever, abdominal cramps, loss of appetite, persistent vomiting",Gastroenteritis (Severe)
"bloody stool, stomach ache, severe diarrhea, intense cramping, nausea",Gastroenteritis (Severe)
"vomiting, abdominal pain, frequent diarrhea, low-grade fever, stomach upset",Gastroenteritis (Severe)
"numbness, tingling, tremor, difficulty balancing, slurred speech",Multiple Sclerosis (MS)
"muscle spasms, tingling in limbs, fatigue, balance problems, visual disturbance",Multiple Sclerosis (MS)
"unexplained weakness, numbness, difficulty walking, spasticity, vision loss",Multiple Sclerosis (MS)
"tingling in hands, numbness in legs, tremor, difficulty speaking, chronic fatigue",Multiple Sclerosis (MS)
"balance issues, visual disturbance, electric shock sensation down spine, muscle weakness",Multiple Sclerosis (MS)
"numbness, spasticity, difficulty coordinating movements, tremor, severe fatigue",Multiple Sclerosis (MS)
"tingling, weakness, electric shock sensation, dizziness, difficulty walking",Multiple Sclerosis (MS)
"difficulty balancing, blurred vision, numbness in limbs, slurred speech, spasms",Multiple Sclerosis (MS)
"muscle weakness, tingling, chronic fatigue, tremor, loss of coordination",Multiple Sclerosis (MS)
"numbness, tremor, difficulty walking, visual disturbance, electric shock sensation",Multiple Sclerosis (MS)
"numbness, tingling, tremor, difficulty balancing, slurred speech",Multiple Sclerosis (MS)
"muscle spasms, tingling in limbs, fatigue, balance problems, visual disturbance",Multiple Sclerosis (MS)
"unexplained weakness, numbness, difficulty walking, spasticity, vision loss",Multiple Sclerosis (MS)
"tingling in hands, numbness in legs, tremor, difficulty speaking, chronic fatigue",Multiple Sclerosis (MS)
"balance issues, visual disturbance, electric shock sensation down spine, muscle weakness",Multiple Sclerosis (MS)
"numbness, spasticity, difficulty coordinating movements, tremor, severe fatigue",Multiple Sclerosis (MS)
"tingling, weakness, electric shock sensation, dizziness, difficulty walking",Multiple Sclerosis (MS)
"difficulty balancing, blurred vision, numbness in limbs, slurred speech, spasms",Multiple Sclerosis (MS)
"muscle weakness, tingling, chronic fatigue, tremor, loss of coordination",Multiple Sclerosis (MS)
"numbness, tremor, difficulty walking, visual disturbance, electric shock sensation",Multiple Sclerosis (MS)
"numbness, tingling, tremor, difficulty balancing, slurred speech",Multiple Sclerosis (MS)
"muscle spasms, tingling in limbs, fatigue, balance problems, visual disturbance",Multiple Sclerosis (MS)
"unexplained weakness, numbness, difficulty walking, spasticity, vision loss",Multiple Sclerosis (MS)
"tingling in hands, numbness in legs, tremor, difficulty speaking, chronic fatigue",Multiple Sclerosis (MS)
"balance issues, visual disturbance, electric shock sensation down spine, muscle weakness",Multiple Sclerosis (MS)
"numbness, spasticity, difficulty coordinating movements, tremor, severe fatigue",Multiple Sclerosis (MS)
"tingling, weakness, electric shock sensation, dizziness, difficulty walking",Multiple Sclerosis (MS)
"difficulty balancing, blurred vision, numbness in limbs, slurred speech, spasms",Multiple Sclerosis (MS)
"muscle weakness, tingling, chronic fatigue, tremor, loss of coordination",Multiple Sclerosis (MS)
"numbness, tremor, difficulty walking, visual disturbance, electric shock sensation",Multiple Sclerosis (MS)
"numbness, tingling, tremor, difficulty balancing, slurred speech",Multiple Sclerosis (MS)
"muscle spasms, tingling in limbs, fatigue, balance problems, visual disturbance",Multiple Sclerosis (MS)
"unexplained weakness, numbness, difficulty walking, spasticity, vision loss",Multiple Sclerosis (MS)
"tingling in hands, numbness in legs, tremor, difficulty speaking, chronic fatigue",Multiple Sclerosis (MS)
"balance issues, visual disturbance, electric shock sensation down spine, muscle weakness",Multiple Sclerosis (MS)
"numbness, spasticity, difficulty coordinating movements, tremor, severe fatigue",Multiple Sclerosis (MS)
"tingling, weakness, electric shock sensation, dizziness, difficulty walking",Multiple Sclerosis (MS)
"difficulty balancing, blurred vision, numbness in limbs, slurred speech, spasms",Multiple Sclerosis (MS)
"muscle weakness, tingling, chronic fatigue, tremor, loss of coordination",Multiple Sclerosis (MS)
"numbness, tremor, difficulty walking, visual disturbance, electric shock sensation",Multiple Sclerosis (MS)
"severe chest pressure, radiating pain to jaw/arm, shortness of breath, heavy sweating",Myocardial Infarction (MI)
"crushing chest pressure, pain in left arm, shortness of breath, nausea, dizziness",Myocardial Infarction (MI)
"sudden chest pain, radiating pain, heavy sweating, difficulty breathing, jaw pain",Myocardial Infarction (MI)
"chest pressure, left arm pain, severe sweating, shortness of breath, feeling of doom",Myocardial Infarction (MI)
"crushing chest pain, shortness of breath, radiating to back, profuse sweating",Myocardial Infarction (MI)
"pressure in chest, pain in shoulder, nausea, severe sweating, dizziness",Myocardial Infarction (MI)
"chest pain, jaw pain, shortness of breath, crushing pressure, heavy arm pain",Myocardial Infarction (MI)
"severe chest pressure, radiating to arm, profuse sweating, difficulty breathing",Myocardial Infarction (MI)
"nausea, left arm pain, crushing chest pain, dizziness, severe shortness of breath",Myocardial Infarction (MI)
"heavy sweating, chest pressure, radiating pain, jaw/shoulder pain, breathing difficulty",Myocardial Infarction (MI)
"severe chest pressure, radiating pain to jaw/arm, shortness of breath, heavy sweating",Myocardial Infarction (MI)
"crushing chest pressure, pain in left arm, shortness of breath, nausea, dizziness",Myocardial Infarction (MI)
"sudden chest pain, radiating pain, heavy sweating, difficulty breathing, jaw pain",Myocardial Infarction (MI)
"chest pressure, left arm pain, severe sweating, shortness of breath, feeling of doom",Myocardial Infarction (MI)
"crushing chest pain, radiating to back, profuse sweating, difficulty breathing",Myocardial Infarction (MI)
"pressure in chest, pain in shoulder, nausea, severe sweating, dizziness",Myocardial Infarction (MI)
"chest pain, jaw pain, shortness of breath, crushing pressure, heavy arm pain",Myocardial Infarction (MI)
"severe chest pressure, radiating to arm, profuse sweating, difficulty breathing",Myocardial Infarction (MI)
"nausea, left arm pain, crushing chest pain, dizziness, severe shortness of breath",Myocardial Infarction (MI)
"heavy sweating, chest pressure, radiating pain, jaw/shoulder pain, breathing difficulty",Myocardial Infarction (MI)
"severe chest pressure, radiating pain to jaw/arm, shortness of breath, heavy sweating",Myocardial Infarction (MI)
"crushing chest pressure, pain in left arm, shortness of breath, nausea, dizziness",Myocardial Infarction (MI)
"sudden chest pain, radiating pain, heavy sweating, difficulty breathing, jaw pain",Myocardial Infarction (MI)
"chest pressure, left arm pain, severe sweating, shortness of breath, feeling of doom",Myocardial Infarction (MI)
"crushing chest pain, radiating to back, profuse sweating, difficulty breathing",Myocardial Infarction (MI)
"pressure in chest, pain in shoulder, nausea, severe sweating, dizziness",Myocardial Infarction (MI)
"chest pain, jaw pain, shortness of breath, crushing pressure, heavy arm pain",Myocardial Infarction (MI)
"severe chest pressure, radiating to arm, profuse sweating, difficulty breathing",Myocardial Infarction (MI)
"nausea, left arm pain, crushing chest pain, dizziness, severe shortness of breath",Myocardial Infarction (MI)
"heavy sweating, chest pressure, radiating pain, jaw/shoulder pain, breathing difficulty",Myocardial Infarction (MI)
"severe chest pressure, radiating pain to jaw/arm, shortness of breath, heavy sweating",Myocardial Infarction (MI)
"crushing chest pressure, pain in left arm, shortness of breath, nausea, dizziness",Myocardial Infarction (MI)
"sudden chest pain, radiating pain, heavy sweating, difficulty breathing, jaw pain",Myocardial Infarction (MI)
"chest pressure, left arm pain, severe sweating, shortness of breath, feeling of doom",Myocardial Infarction (MI)
"crushing chest pain, radiating to back, profuse sweating, difficulty breathing",Myocardial Infarction (MI)
"pressure in chest, pain in shoulder, nausea, severe sweating, dizziness",Myocardial Infarction (MI)
"chest pain, jaw pain, shortness of breath, crushing pressure, heavy arm pain",Myocardial Infarction (MI)
"severe chest pressure, radiating to arm, profuse sweating, difficulty breathing",Myocardial Infarction (MI)
"nausea, left arm pain, crushing chest pain, dizziness, severe shortness of breath",Myocardial Infarction (MI)
"heavy sweating, chest pressure, radiating pain, jaw/shoulder pain, breathing difficulty",Myocardial Infarction (MI)
"joint stiffness in morning, symmetrical joint pain, swollen hands, constant fatigue, warm joints",Rheumatoid Arthritis (RA)
"morning stiffness lasting hours, symmetrical pain, swollen joints, chronic tiredness, fever",Rheumatoid Arthritis (RA)
"swollen hands, tender joints, symmetrical joint pain, extreme fatigue, stiffness upon waking",Rheumatoid Arthritis (RA)
"constant fatigue, joint stiffness, symmetrical swelling, tender hands, low-grade fever",Rheumatoid Arthritis (RA)
"symmetrical joint pain, morning stiffness, hand swelling, persistent fatigue, warm joints",Rheumatoid Arthritis (RA)
"joint stiffness in morning, symmetrical joint pain, swollen hands, constant fatigue, warm joints",Rheumatoid Arthritis (RA)
"morning stiffness lasting hours, symmetrical pain, swollen joints, chronic tiredness, fever",Rheumatoid Arthritis (RA)
"swollen hands, tender joints, symmetrical joint pain, extreme fatigue, stiffness upon waking",Rheumatoid Arthritis (RA)
"constant fatigue, joint stiffness, symmetrical swelling, tender hands, low-grade fever",Rheumatoid Arthritis (RA)
"symmetrical joint pain, morning stiffness, hand swelling, persistent fatigue, warm joints",Rheumatoid Arthritis (RA)
"joint stiffness in morning, symmetrical joint pain, swollen hands, constant fatigue, warm joints",Rheumatoid Arthritis (RA)
"morning stiffness lasting hours, symmetrical pain, swollen joints, chronic tiredness, fever",Rheumatoid Arthritis (RA)
"swollen hands, tender joints, symmetrical joint pain, extreme fatigue, stiffness upon waking",Rheumatoid Arthritis (RA)
"constant fatigue, joint stiffness, symmetrical swelling, tender hands, low-grade fever",Rheumatoid Arthritis (RA)
"symmetrical joint pain, morning stiffness, hand swelling, persistent fatigue, warm joints",Rheumatoid Arthritis (RA)
"joint stiffness in morning, symmetrical joint pain, swollen hands, constant fatigue, warm joints",Rheumatoid Arthritis (RA)
"morning stiffness lasting hours, symmetrical pain, swollen joints, chronic tiredness, fever",Rheumatoid Arthritis (RA)
"swollen hands, tender joints, symmetrical joint pain, extreme fatigue, stiffness upon waking",Rheumatoid Arthritis (RA)
"constant fatigue, joint stiffness, symmetrical swelling, tender hands, low-grade fever",Rheumatoid Arthritis (RA)
"symmetrical joint pain, morning stiffness, hand swelling, persistent fatigue, warm joints",Rheumatoid Arthritis (RA)
"joint stiffness in morning, symmetrical joint pain, swollen hands, constant fatigue, warm joints",Rheumatoid Arthritis (RA)
"morning stiffness lasting hours, symmetrical pain, swollen joints, chronic tiredness, fever",Rheumatoid Arthritis (RA)
"swollen hands, tender joints, symmetrical joint pain, extreme fatigue, stiffness upon waking",Rheumatoid Arthritis (RA)
"constant fatigue, joint stiffness, symmetrical swelling, tender hands, low-grade fever",Rheumatoid Arthritis (RA)
"symmetrical joint pain, morning stiffness, hand swelling, persistent fatigue, warm joints",Rheumatoid Arthritis (RA)
"joint stiffness in morning, symmetrical joint pain, swollen hands, constant fatigue, warm joints",Rheumatoid Arthritis (RA)
"morning stiffness lasting hours, symmetrical pain, swollen joints, chronic tiredness, fever",Rheumatoid Arthritis (RA)
"swollen hands, tender joints, symmetrical joint pain, extreme fatigue, stiffness upon waking",Rheumatoid Arthritis (RA)
"constant fatigue, joint stiffness, symmetrical swelling, tender hands, low-grade fever",Rheumatoid Arthritis (RA)
"symmetrical joint pain, morning stiffness, hand swelling, persistent fatigue, warm joints",Rheumatoid Arthritis (RA)
"joint stiffness in morning, symmetrical joint pain, swollen hands, constant fatigue, warm joints",Rheumatoid Arthritis (RA)
"morning stiffness lasting hours, symmetrical pain, swollen joints, chronic tiredness, fever",Rheumatoid Arthritis (RA)
"swollen hands, tender joints, symmetrical joint pain, extreme fatigue, stiffness upon waking",Rheumatoid Arthritis (RA)
"constant fatigue, joint stiffness, symmetrical swelling, tender hands, low-grade fever",Rheumatoid Arthritis (RA)
"symmetrical joint pain, morning stiffness, hand swelling, persistent fatigue, warm joints",Rheumatoid Arthritis (RA)
"joint stiffness in morning, symmetrical joint pain, swollen hands, constant fatigue, warm joints",Rheumatoid Arthritis (RA)
"morning stiffness lasting hours, symmetrical pain, swollen joints, chronic tiredness, fever",Rheumatoid Arthritis (RA)
"swollen hands, tender joints, symmetrical joint pain, extreme fatigue, stiffness upon waking",Rheumatoid Arthritis (RA)
